,Lan,CUI,P,LUI,PF,SUI,name
3032468,ENG,C0953589,P,L1764401,PF,S2198443,"perillartine, (E)-(+)-isomer"
3032469,ENG,C0953590,P,L1764401,PF,S2198445,"perillartine, (E)-(-)-isomer"
3032593,ENG,C0953713,P,L1876750,PF,S2196573,"medroxalol monohydrochloride, (R-(R*,S*))-isomer"
3032623,ENG,C0953742,P,L1743576,PF,S2193599,"estradiol-17 beta-3-methyl ether, (17alpha)-isomer"
3032629,ENG,C0953748,P,L1743597,PF,S2193600,"estradiol-17 beta-3-methyl ether, (8alpha,17beta)-isomer"
3032641,ENG,C0953760,P,L1749746,PF,S2203032,"DD-3305, (+-)-isomer"
3032671,ENG,C0953790,P,L1742540,PF,S2194185,"fucoxanthin, (6'R,13'-cis)-isomer"
3032849,ENG,C0953965,P,L1769831,PF,S2203381,"stilbene oxide, trans-(+-)-isomer"
3032869,ENG,C0953986,P,L1769835,PF,S2197987,"oxilofrin, (R*,S*)-isomer"
3032980,ENG,C0954086,P,L1756184,PF,S2189307,"alanyl-alanyl-alanyl-alanine, (L-Ala-L-Ala-D-Ala-L-Ala)-isomer"
3032982,ENG,C0954088,P,L1756183,PF,S2189303,"alanyl-alanyl-alanyl-alanine, (D-Ala-L-Ala-L-Ala-D-Ala)-isomer"
3032983,ENG,C0954089,P,L1756183,PF,S2189305,"alanyl-alanyl-alanyl-alanine, (L-Ala-D-Ala-L-Ala-D-Ala)-isomer"
3033038,ENG,C0954132,P,L1736412,PF,S2168726,"3,4-dihydroxy-1,2-epoxy-1,2,3,4-tetrahydrobenz(a)anthracene, (1aalpha,2alpha,3beta,11calpha)-(+-)-isomer"
3033044,ENG,C0954138,P,L1748165,PF,S2195768,"juvenile hormone I acid, (2alpha(E,E),3alpha)-isomer"
3033154,ENG,C0954248,P,L1765132,PF,S2193842,"fenchol, ((exo)-(+-))-isomer"
3033196,ENG,C0954288,P,L1739181,PF,S2196976,"metralindole, L-tartrate (2:1), (+)-isomer"
3033228,ENG,C0954315,P,L1736350,PF,S2166078,"1-(3-pyridyl)ethanol tartrate (1:1), (+-)-isomer"
3033401,ENG,C0954484,P,L1769594,PF,S2196855,"methyl lactate, (+-)-isomer"
3033459,ENG,C0954542,P,L1743030,PF,S2169405,"3-methoxymorphinan, (14alpha)-(+-)-isomer"
3033489,ENG,C0954569,P,L1760731,PF,S2191468,"chalcone epoxide, (cis)-isomer"
3033538,ENG,C0954618,P,L1739024,PF,S2196097,"limonene-1,2-epoxide, cis-(+)-isomer"
3033540,ENG,C0954620,P,L1739131,PF,S2196099,"limonene-1,2-epoxide, trans-(+)-isomer"
3033607,ENG,C0954681,P,L1737511,PF,S2171758,"9,10-dimethylanthracene, ion(1+)"
3033612,ENG,C0954686,P,L1741328,PF,S2173626,"BTM 1042, (cis-(+))-isomer"
3033622,ENG,C0954697,P,L1859596,PF,S2167590,"2-(4-chlorophenyl)cyclopropylamine hydrochloride, (trans)-(+-)-isomer"
3033626,ENG,C0954701,P,L1756691,PF,S2189551,"alpha-methylepinephrine, (threo-(+-))-isomer"
3033630,ENG,C0954705,P,L1743760,PF,S2195110,"homoestradiol, (8alpha,17abeta)-isomer"
3033634,ENG,C0954709,P,L1743784,PF,S2196066,"levonorgestrel-4 beta,5 beta-epoxide, (4alpha,5alpha,17alpha)-isomer"
3033688,ENG,C0954763,P,L1761177,PF,S2201530,"thymine glycol, ((cis)-(+-))-isomer"
3033689,ENG,C0954764,P,L1767491,PF,S2201531,"thymine glycol, ((trans)-(+-))-isomer"
3033698,ENG,C0954773,P,L1752196,PF,S2201518,"thymidine glycol, (5R*,6S*)-isomer"
3033709,ENG,C0954784,P,L1745046,PF,S2167199,"2,3-bis(3'-hydroxybenzyl)butyrolactone, (trans)-isomer"
3033722,ENG,C0954797,P,L1863870,PF,S2171501,"7-hydroxycyclindole hydrochloride, (-)-isomer"
3033723,ENG,C0954798,P,L1863870,PF,S2171500,"7-hydroxycyclindole hydrochloride, (+-)-isomer"
3033732,ENG,C0954807,P,L1742095,PF,S2181339,"Mr 1452, (2alpha,6alpha,11R*)-(+-)-isomer"
3033818,ENG,C0954892,P,L1751551,PF,S2170631,"5,6-dihydro-6-hydroxythymidine, (cis)-(+)-isomer"
3033884,ENG,C0954954,P,L1861594,PF,S2201012,"sulfinalol hydrochoride, ((alphaR*(R*),3(S*))-(-))-isomer"
3033885,ENG,C0954955,P,L1861593,PF,S2201011,"sulfinalol hydrochoride, ((alphaR*(R*),3(R*))-(-))-isomer"
3033886,ENG,C0954956,P,L1861594,PF,S2201014,"sulfinalol hydrochoride, ((alphaR*(S*),3(R*))-(-))-isomer"
3033889,ENG,C0954959,P,L1741521,PF,S2166678,"11-hydroxyprogesterone, (11alpha)-(+-)-isomer"
3034021,ENG,C0955077,P,L1753003,PF,S2188926,"ZR 777, ((E,E)-(+-))-isomer"
3034053,ENG,C0955107,P,L1742542,PF,S2202989,"7-oxa-13-prostynoic acid, (trans-(+))-isomer"
3034146,ENG,C0955185,P,L1756898,PF,S2189673,"amiflamin, (-)-isomer"
3034175,ENG,C0955215,P,L1759688,PF,S2191030,"butestrol, (R*,R*)-(-)-isomer"
3034228,ENG,C0955269,P,L1764818,PF,S2176709,"EPN oxon, (+)-isomer"
3034240,ENG,C0955282,P,L1740941,PF,S2171387,"7,8,9,10-tetrahydroxytetrahydrobenzo(a)pyrene, ((7alpha,8beta,9alpha,10alpha)-(+-))-isomer"
3034241,ENG,C0955283,P,L1740946,PF,S2171390,"7,8,9,10-tetrahydroxytetrahydrobenzo(a)pyrene, ((7alpha,8beta,9beta,10beta)-(+-))-isomer"
3034242,ENG,C0955284,P,L1740945,PF,S2171388,"7,8,9,10-tetrahydroxytetrahydrobenzo(a)pyrene, ((7alpha,8beta,9alpha,10beta)-(+-))-isomer"
3034317,ENG,C0955355,P,L1758723,PF,S2190483,"beta, beta-dimethylacrylshikonin, (-)-isomer"
3034365,ENG,C0955403,P,L1859819,PF,S2171704,"8-methoxy-2-(di-n-propylamino)tetralin hydrochloride, (-)-isomer"
3034366,ENG,C0955404,P,L1859819,PF,S2171703,"8-methoxy-2-(di-n-propylamino)tetralin hydrochloride, (+-)-isomer"
3034506,ENG,C0955547,P,L1751868,PF,S2202976,"5-methylmethadone, (R-(R*,S*))-isomer"
3034560,ENG,C0955596,P,L1745206,PF,S2169145,"3-amino-2-hydroxy-5-methylhexanoic acid, (R-(R*,S*))-isomer"
3034619,ENG,C0955655,P,L1761180,PF,S2196190,"lofentanil, cis-(-)-isomer"
3034620,ENG,C0955656,P,L1761181,PF,S2196188,"lofentanil oxalate, (cis-(-))-isomer"
3034622,ENG,C0955658,P,L1761180,PF,S2196189,"lofentanil, cis-(+-)-isomer"
3034629,ENG,C0955666,P,L1745133,PF,S2169142,"3-amino-2-hydroxy-4-phenylbutanoic acid, (R-(R*,S*))-isomer"
3034640,ENG,C0955677,P,L1876770,PF,S2198739,"picenadol, (trans)-(+)-isomer"
3034642,ENG,C0955679,P,L1876132,PF,S2198736,"picenadol hydrochloride, (trans)-(+)-isomer"
3034693,ENG,C0955730,P,L1744363,PF,S2198434,"perhydrohexestrol, (1R*(trans),2R*(trans))-(+)-isomer"
3034694,ENG,C0955731,P,L1744363,PF,S2198436,"perhydrohexestrol, (1R*(trans),2R*(trans))-(-)-isomer"
3034696,ENG,C0955733,P,L1744362,PF,S2203337,"perhydrohexestrol, (1R*(cis),2R*(trans))-(-)-isomer"
3034714,ENG,C0955751,P,L1744112,PF,S2170662,"5,6-methanoleukotriene A4, (1alpha,2beta(1E,3E,5Z,8Z))-isomer"
3034837,ENG,C0955879,P,L1764317,PF,S2195782,"juvenile hormone III, (E,E)-isomer"
3034840,ENG,C0955882,P,L1736981,PF,S2165961,"1-(1-phenylcyclohexyl)-3-methylpiperidine, (-)-isomer"
3034908,ENG,C0955943,P,L1769826,PF,S2198531,"phenthoate oxon, (+-)-isomer"
3034994,ENG,C0956028,P,L1765085,PF,S2193735,"etryptamine monoacetate, (+-)-isomer"
3034999,ENG,C0956033,P,L1749462,PF,S2168565,"3'-hydroxyhexobarbital, (R-(R*,S*))-isomer"
3035196,ENG,C0956215,P,L1736096,PF,S2185261,"Ro 03-7410, (-)-isomer"
3035197,ENG,C0956216,P,L1736096,PF,S2203134,"Ro 03-7410, (+)-isomer"
3035203,ENG,C0956222,P,L1742889,PF,S2170903,"5-fluoro-Trp(8)-somatostatin, (8-L-Trp-14-D-Cys)-isomer"
3035219,ENG,C0956238,P,L1756188,PF,S2189301,"alanyl-alanyl-alanine, (L-Ala-L-Ala-D-Ala)-isomer"
3035247,ENG,C0956267,P,L1740935,PF,S2171744,"9,10-dihydroxy-9,10-dihydrophenanthrene, (trans)-isomer"
3035254,ENG,C0956274,P,L1858733,PF,S2168363,"2-tert-butyl-7-(2,4-dichlorophenyl)octahydro-2H-quinolizin-2-ol hydrochloride, (+)-isomer"
3035255,ENG,C0956275,P,L1858733,PF,S2168365,"2-tert-butyl-7-(2,4-dichlorophenyl)octahydro-2H-quinolizin-2-ol hydrochloride, (-)-isomer"
3035301,ENG,C0956323,P,L1736180,PF,S2169768,"4-(3-(2,6,6-trimethyl-1-methyl-1-cyclohexen-1-yl)-2-(propenylidene)-2-cyclohepten-1-ylidene)acetaldehyde, (E,E,Z)-isomer"
3035305,ENG,C0956327,P,L1745202,PF,S2167448,"2,9-dimethyl-5-(3-hydroxyphenyl)morphan, (-)-isomer"
3035306,ENG,C0956328,P,L1859247,PF,S2167446,"2,9-dimethyl-5-(3-hydroxyphenyl)morphan hydrochloride, (-)-isomer"
3035309,ENG,C0956331,P,L1746074,PF,S2193414,"enkephalin-Leu, Ala(2)-Arg(6)-, (D-Arg-L-Tyr-D-Ala-L-Phe-L-Leu)-isomer"
3035319,ENG,C0956341,P,L1859080,PF,S2168184,"2-methyl-3,3-diphenyl-3-propanolamine hydrochloride, (-)-isomer"
3035320,ENG,C0956342,P,L1744983,PF,S2168188,"2-methyl-3,3-diphenyl-3-propanolamine, (+)-isomer"
3035321,ENG,C0956343,P,L1859080,PF,S2168182,"2-methyl-3,3-diphenyl-3-propanolamine hydrochloride, (+)-isomer"
3035331,ENG,C0956352,P,L1745689,PF,S2167334,"2,4-piperidinedicarboxylic acid, cis-(+-)-isomer"
3035392,ENG,C0956412,P,L1769697,PF,S2182267,"N-methylephedrine, (R*,S*)-isomer"
3035395,ENG,C0956415,P,L1769696,PF,S2182268,"N-methylephedrine, (R-(R*,S*))-isomer"
3035397,ENG,C0956417,P,L1876123,PF,S2182265,"N-methylephedrine hydrochloride, (S-(R*,R*))-isomer"
3035398,ENG,C0956418,P,L1876124,PF,S2182263,"N-methylephedrine hydrochloride, (R*,S*)-isomer"
3035400,ENG,C0956420,P,L1736784,PF,S2166493,"1-phenyl-2-nitro-1,3-diacetoxypropane, (R*,R*)-(+-)-isomer"
3035415,ENG,C0956436,P,L1876146,PF,S15097642,"Tomoxetine Hydrochloride, (+-)-isomer"
3035449,ENG,C0956469,P,L1753550,PF,S2185391,"S 9871, (-)-isomer"
3035451,ENG,C0956471,P,L1736671,PF,S2165707,"1,2-dihydroxy-1,2-dihydronaphthalene, (trans)-(-)-isomer"
3035453,ENG,C0956473,P,L1736671,PF,S2165706,"1,2-dihydroxy-1,2-dihydronaphthalene, (trans)-(+-)-isomer"
3035454,ENG,C0956474,P,L1736666,PF,S2165704,"1,2-dihydroxy-1,2-dihydronaphthalene, (cis)-(+-)-isomer"
3035501,ENG,C0956518,P,L1738724,PF,S2192757,"dichloro(1,2-bis(4-hydroxyphenyl)ethylenediamine)platinum II, (+-)-isomer"
3035502,ENG,C0956519,P,L1738724,PF,S2192756,"dichloro(1,2-bis(4-hydroxyphenyl)ethylenediamine)platinum II, (+)-isomer"
3035579,ENG,C0956589,P,L1746702,PF,S2167917,"2-butanol, (+-)-isomer"
3035581,ENG,C0956591,P,L1746702,PF,S2167916,"2-butanol, (+)-isomer"
3035709,ENG,C0956719,P,L1744259,PF,S2192097,"curarine dichloride, (1beta)-isomer"
3035740,ENG,C0956750,P,L1741674,PF,S2201632,"tonazocine methanesulfonate salt, (2alpha,6alpha,11S*)-(+-)-isomer"
3035752,ENG,C0956762,P,L1125741,PF,S2169828,"4-(cyclopropylmethyl)-3,4,5,6-tetrahydro-2H-1,5-methano-1,4-benzodiazocin-9-amine, (-)"
3035765,ENG,C0956775,P,L1741511,PF,S2166622,"11,12-dihydro-11,12-dihydroxybenzo(a)pyrene, (trans)-(+-)-isomer"
3035800,ENG,C0956807,P,L1759587,PF,S2190976,"broxaterol, (+)-isomer"
3035802,ENG,C0956809,P,L1868968,PF,S2190975,"broxaterol monohydrochloride, (-)-isomer"
3035825,ENG,C0956832,P,L1749121,PF,S2169496,"3-tert-butylphenyl sec-butylcarbamate, (+-)-isomer"
3035908,ENG,C0956909,P,L1739198,PF,S2165770,"1,2-oxidolinalool, (S-R*,R*)-isomer"
3035928,ENG,C0956926,P,L1761172,PF,S2193858,"fenfluthrin, cis-(-)-isomer"
3035968,ENG,C0956960,P,L1736107,PF,S2181476,"N 0437, (-)-isomer"
3035976,ENG,C0956968,P,L1753077,PF,S2171686,"8-hydroxyeicosatetraenoic acid, (E,Z,Z,Z)-(+-)-isomer"
3036027,ENG,C0957013,P,L1757514,PF,S2203343,"phenylalanylarginine, L-Arg-D-Phe"
3036081,ENG,C0957065,P,L1762878,PF,S2182106,"N-demethylencainide, (+)-isomer"
3036082,ENG,C0957066,P,L1762878,PF,S2203090,"N-demethylencainide, (+-)-isomer"
3036098,ENG,C0957080,P,L1741555,PF,S2171854,"9-hydroperoxy-11,12-octadecadienoic acid, (E,Z)-isomer"
3036131,ENG,C0957114,P,L1863711,PF,S2179782,"L 649923, sodium salt, (-)-isomer"
3036132,ENG,C0957115,P,L1863711,PF,S2179780,"L 649923, sodium salt, (+)-isomer"
3036191,ENG,C0957176,P,L1769664,PF,S2196642,"mepirodipine, (S,R)-isomer"
3036192,ENG,C0957177,P,L1876120,PF,S2196635,"mepirodipine hydrochloride, (S,R)-isomer"
3036194,ENG,C0957179,P,L1769943,PF,S2199714,"quinethazone, (-)-isomer"
3036244,ENG,C0957231,P,L1743300,PF,S2174414,"CGS 15855A, (trans(-))-isomer"
3036268,ENG,C0957255,P,L1862273,PF,S2171831,"9-amino-6-methyl-5,6,6a,7-tetrahydro-4H-benzo-(de)thiazolo(4,5-g)quinoline dihydrochloride, (+)-isomer"
3036269,ENG,C0957256,P,L1750260,PF,S2171837,"9-amino-6-methyl-5,6,6a,7-tetrahydro-4H-benzo-(de)thiazolo(4,5-g)quinoline, (-)-isomer"
3036270,ENG,C0957257,P,L1750259,PF,S2171835,"9-amino-6-methyl-5,6,6a,7-tetrahydro-4H-benzo-(de)thiazolo(4,5-g)quinoline tartrate, (-)-isomer"
3036271,ENG,C0957258,P,L1862273,PF,S2171833,"9-amino-6-methyl-5,6,6a,7-tetrahydro-4H-benzo-(de)thiazolo(4,5-g)quinoline dihydrochloride, (-)-isomer"
3036325,ENG,C0957312,P,L1769895,PF,S2198764,"pimeprofen, (-)-isomer"
3036330,ENG,C0957317,P,L1854794,PF,S2166384,"1-methyl-5-phenyl-2,3,4,4a,5,9b-hexahydro-1H-indeno(1,2-b)pyridine hydrochloride, (-)-isomer"
3036332,ENG,C0957319,P,L1736501,PF,S2166509,"1-propyl-5-phenyl-2,3,4,4a,5,9b-hexahydro-1H-indeno(1,2-b)pyridine, (+)-isomer"
3036334,ENG,C0957321,P,L1854795,PF,S2166507,"1-propyl-5-phenyl-2,3,4,4a,5,9b-hexahydro-1H-indeno(1,2-b)pyridine hydrochloride, (+)-isomer"
3036336,ENG,C0957323,P,L1737877,PF,S2170754,"5-(4-aminophenyl)-2,3,4,4a,5,9b-hexahydro-1H-indeno(1,2-b)pyridine, (-)-isomer"
3036338,ENG,C0957325,P,L1855341,PF,S2170752,"5-(4-aminophenyl)-2,3,4,4a,5,9b-hexahydro-1H-indeno(1,2-b)pyridine hydrochloride, (-)-isomer"
3036376,ENG,C0957360,P,L1764605,PF,S2193357,"emopamil, (-)-isomer"
3036377,ENG,C0957361,P,L1764605,PF,S2203239,"emopamil, (+-)-isomer"
3036382,ENG,C0957366,P,L1761185,PF,S2182299,"N-monodemethyldiltiazem, cis-(+)-isomer"
3036383,ENG,C0957367,P,L1761185,PF,S2182300,"N-monodemethyldiltiazem, cis-(+-)-isomer"
3036417,ENG,C0957400,P,L1769852,PF,S2198158,"paclobutrazol, (S-(R*,R*))-isomer"
3036446,ENG,C0957429,P,L1738371,PF,S2168224,"2-methyl-5-(dimethylamino)methyl-1,3-oxathiolane-3-oxide, (+)-isomer"
3036482,ENG,C0957463,P,L1760072,PF,S2194296,"gamma-cadinene, (+)-isomer"
3036528,ENG,C0957504,P,L1739932,PF,S2166247,"1-aminoethylphosphinic acid, (+)-isomer"
3036593,ENG,C0957569,P,L1752094,PF,S2179679,"KW 5805, (-)-isomer"
3036697,ENG,C0957664,P,L1742983,PF,S2185363,"S 145, (-)-isomer"
3036705,ENG,C0957672,P,L1749187,PF,S2169429,"3-methylcyclohexanol, cis-isomer"
3036706,ENG,C0957673,P,L1749521,PF,S2169430,"3-methylcyclohexanol, trans-isomer"
3036719,ENG,C0957686,P,L1761129,PF,S2193660,"ethyl chrysanthemate, (trans)-isomer"
3036721,ENG,C0957688,P,L1761128,PF,S2193659,"ethyl chrysanthemate, (cis)-isomer"
3036787,ENG,C0957744,P,L1747556,PF,S2180581,"MDL 201053, (R-(R*,S*))-isomer"
3036808,ENG,C0957766,P,L1749518,PF,S2169399,"3-methoxycyproheptadine, (-)-isomer"
3036809,ENG,C0957767,P,L1749518,PF,S2169397,"3-methoxycyproheptadine, (+)-isomer"
3036820,ENG,C0957776,P,L1769232,PF,S2195336,"imazaquin, (+-)-isomer"
3036821,ENG,C0957777,P,L1769232,PF,S2195337,"imazaquin, (-)-isomer"
3036834,ENG,C0957790,P,L1737650,PF,S2192727,"dibenz(a,j)anthracene-3,4-diol-1,2-epoxide, (1aalpha,2beta,3alpha,13calpha)-(+-)-isomer"
3036836,ENG,C0957792,P,L1737649,PF,S2192725,"dibenz(a,j)anthracene-3,4-diol-1,2-epoxide, (1aalpha,2alpha,3beta,13calpha)-(+-)-isomer"
3036861,ENG,C0957819,P,L1769480,PF,S2195588,"isamoltane, (+)-isomer"
3036862,ENG,C0957820,P,L1769480,PF,S2195590,"isamoltane, (-)-isomer"
3036872,ENG,C0957830,P,L1855629,PF,S2168131,"2-isothiocyanato-N-methyl-N-(2-(1-pyrrolidinyl)cyclohexyl)benzeneacetamide, hydrochloride, (+)-isomer"
3036954,ENG,C0957912,P,L1736045,PF,S2184985,"RS 93522-004 bis(3,5-dinitrobenzoic acid ester), R-(R*,S*)-isomer"
3036968,ENG,C0957927,P,L1859432,PF,S2197061,"moexiprilat, (3S-(2(S*(R*)),3R*))-isomer"
3037007,ENG,C0957964,P,L1738068,PF,S2167202,"2,3-diacetyl-4-hydroxy-4-methylcyclopent-2-en-1-one, (-)-isomer"
3037094,ENG,C0958043,P,L1764838,PF,S2193511,"epsiprantel, (-)-isomer"
3037155,ENG,C0958099,P,L1741394,PF,S2184754,"RAC 109, (+)-isomer"
3037156,ENG,C0958100,P,L1741394,PF,S2184756,"RAC 109, (-)-isomer"
3037170,ENG,C0958114,P,L1759018,PF,S2190714,"bidisomide, (-)-isomer"
3037194,ENG,C0958138,P,L1736395,PF,S2168653,"3,4,4a,10b-tetrahydro-4-propyl-2H,5H-(1)benzopyrano(4,3-b)-1,4-oxazin-9-ol, (-)-isomer"
3037199,ENG,C0958143,P,L1769808,PF,S2203327,"nortilidine, trans-(+)-isomer"
3037245,ENG,C0958189,P,L1738499,PF,S2167204,"2,3-dibenzylbutane-1,4-diol, (R*,S*)-(+)-isomer"
3037256,ENG,C0958200,P,L1748341,PF,S2169942,"4-amino-5-fluoro-3-phenylpentanoic acid, free base, (3R,4S),(3S,4R)-isomer"
3037258,ENG,C0958202,P,L1857455,PF,S2181899,"N-(N-(4-deoxy-4-amino-10-methylpteroyl)-4-fluoroglutamyl)-gamma-glutamate, (2'R,4'S,2''S)-isomer"
3037355,ENG,C0958296,P,L1756296,PF,S2198964,"poly(alanyl-glutamyl-tyrosyl-glycine), structural repeating unit"
3037374,ENG,C0958315,P,L1859174,PF,S2167801,"2-amino-4-methyl-5-phosphono-3-pentenoic acid, E(+-)-isomer"
3037390,ENG,C0958330,P,L1862684,PF,S2170122,"4-fluorodeprenyl hydrochloride, (-)-isomer"
3037445,ENG,C0958381,P,L1866246,PF,S2189346,"alentamol hydrobromide, (-)-isomer"
3037479,ENG,C0958411,P,L1736286,PF,S2202887,"1-(1-(2-benzodioxanylmethyl)-4-piperidiyl)amino-3-(1-naphthoxy)-2-propanol, (S-(R*,R*))-isomer"
3037542,ENG,C0958476,P,L1863461,PF,S2193361,"enadoline, (5alpha,7alpha,8beta)-(-)-isomer"
3037548,ENG,C0958482,P,L1769087,PF,S2195286,"ibutilide, (+)-isomer"
3037549,ENG,C0958483,P,L1739144,PF,S2195288,"ibutilide, fumarate salt (2:1), (+)-isomer"
3037550,ENG,C0958484,P,L1769087,PF,S2203279,"ibutilide, (-)-isomer"
3037580,ENG,C0958512,P,L1854582,PF,S2168171,"2-methyl-1,1-diphenyl-3-(1-pyrrolidyl)-1-propanol hydrochloride, (-)-isomer"
3037581,ENG,C0958513,P,L1854582,PF,S2168169,"2-methyl-1,1-diphenyl-3-(1-pyrrolidyl)-1-propanol hydrochloride, (+)-isomer"
3037601,ENG,C0958534,P,L1744258,PF,S2191607,chondocurine (1beta)-isomer
3037617,ENG,C0958550,P,L1855747,PF,S2168020,"2-ethyl-8-methyl-3-oxo-1-oxa-8-azaspiro(4,5)decane, (-)-isomer"
3037637,ENG,C0958571,P,L1738579,PF,S2168595,"3,1-meso-tetrakis(2-propionamidophenyl)porphyrin, alpha,alpha,beta,beta-isomer"
3037640,ENG,C0958574,P,L1738578,PF,S2168593,"3,1-meso-tetrakis(2-hexanamidophenyl)porphyrin, alpha,beta,alpha,beta-isomer"
3037643,ENG,C0958577,P,L1738554,PF,S2168589,"3,1-meso-tetrakis(2-acetamidophenyl)porphyrin, alpha,alpha,beta,beta-isomer"
3037720,ENG,C0958650,P,L1756692,PF,S2189555,"alpha-methylepinine, (-)-isomer"
3037792,ENG,C0958718,P,L1769699,PF,S2181495,"N'-methylnicotinium, (S)-isomer"
3037885,ENG,C0958808,P,L1738413,PF,S2169889,"4-O-acetyl-1,5-anhydro-O-(methoxycarbonylmethyl)di-O-methylglucitol, 3-O-(methoxycarbonylmethyl)-2,6-di-O-methyl isomer"
3037896,ENG,C0958819,P,L1760296,PF,S2182091,"N-carboxymethyl-phenylalanylleucine, (D,L)-isomer"
3037902,ENG,C0958825,P,L1769807,PF,S2197729,"northioridazine, (+)-isomer"
3037903,ENG,C0958826,P,L1769807,PF,S2197731,"northioridazine, (-)-isomer"
3037916,ENG,C0958839,P,L1859256,PF,S2165310,"(3-phenyl-2-isoxazoline-5-yl)phosphonic acid, (-)-isomer"
3037928,ENG,C0958851,P,L1738222,PF,S2171421,"7-(2-(1-methyl-2-phenyl-ethylamino)propyl)theophylline, (+)-isomer"
3037975,ENG,C0958901,P,L1737440,PF,S2171357,"6a,7,10,10a-tetrahydro-1-hydroxy-6,6-dimethyl-3-pentyl-6H-dibenzo(b,d)pyran-9(8H)-one, (-)-isomer"
3037993,ENG,C0958922,P,L1753330,PF,S2171720,"8a-phenyldecahydroquinoline, cis(+)-isomer"
3037995,ENG,C0958924,P,L1753333,PF,S2171722,"8a-phenyldecahydroquinoline, trans(+)-isomer"
3037996,ENG,C0958925,P,L1753333,PF,S2171724,"8a-phenyldecahydroquinoline, trans(-)-isomer"
3038034,ENG,C0958968,P,L1744996,PF,S2202930,"3-(4-aminophenyl)-3-cyclohexylpiperidine-2,6-dione, (-)-isomer"
3038056,ENG,C0958992,P,L1739486,PF,S2169161,"3-aminocyclopentane-1-carboxylic acid, (cis)-isomer"
3038057,ENG,C0958993,P,L1739487,PF,S2169163,"3-aminocyclopentane-1-carboxylic acid, (trans-(+))-isomer"
3038107,ENG,C0959040,P,L1769224,PF,S2195321,"imazapyr, (+)-isomer"
3038112,ENG,C0959045,P,L1769224,PF,S2195322,"imazapyr, (+-)-isomer"
3038134,ENG,C0959069,P,L1747983,PF,S2180068,"LY 257883, (cis)-(+-)-isomer"
3038137,ENG,C0959072,P,L1746076,PF,S2167717,"2-O-(6-O-glycero-manno-heptopyranosyl-glucopyranosyl)glucopyranose, (alpha-D-manno-alpha-D-gluco-beta-D-gluco)-isomer"
3038185,ENG,C0959120,P,L1752108,PF,S2184942,"RP 58802B, (R-(R*,S*))-isomer"
3038217,ENG,C0959150,P,L1862902,PF,S2180677,"MK 410, sodium salt, (-)-isomer"
3038251,ENG,C0959183,P,L1762532,PF,S2196047,"leucyltyrosine, (L-Tyr,D-Leu)-isomer"
3038265,ENG,C0959196,P,L1742327,PF,S2174432,"CHF 1255, 2S-(2R*(S*(R*)))"
3038266,ENG,C0959197,P,L1742328,PF,S2174429,"CHF 1255, 2R-(2R*(R*(S*)))"
3038284,ENG,C0959215,P,L1855347,PF,S2170049,"4-chlorophenyl-2-(1H-1,2,4-triazol-yl)cycloheptanol, cis-(-)-isomer"
3038285,ENG,C0959216,P,L1855347,PF,S2170048,"4-chlorophenyl-2-(1H-1,2,4-triazol-yl)cycloheptanol, cis-(+)-isomer"
3038288,ENG,C0959219,P,L1870155,PF,S2197785,"oblongine chloride, (+-)-isomer"
3038305,ENG,C0959236,P,L1741347,PF,S2203041,"FK 1052, (+)-isomer"
3038323,ENG,C0959254,P,L1749750,PF,S2188473,"WR 33063, (+)-isomer"
3038325,ENG,C0959256,P,L1862057,PF,S2188479,"WR 33063, hydrochloride, (-)-isomer"
3038326,ENG,C0959257,P,L1862057,PF,S2188478,"WR 33063, hydrochloride, (+-)-isomer"
3038382,ENG,C0959312,P,L1859453,PF,S2167603,"2-(4-tert-butylphenoxy)-7-(4-chlorophenyl)heptanoic acid, (+)-isomer"
3038412,ENG,C0959341,P,L1769952,PF,S2202151,"vamicamide, (R-(R*,S*))-isomer"
3038422,ENG,C0959351,P,L1748161,PF,S2194259,"galgravin, (2alpha,3alpha,4alpha,5beta)-isomer"
3038440,ENG,C0959369,P,L1769905,PF,S2199136,"praziquanamine, (+)-isomer"
3038463,ENG,C0959393,P,L1743952,PF,S2182141,"N-ethyl-4-fluoroacetamidobenzovesamicol, ((18F)-(+))-isomer"
3038471,ENG,C0959401,P,L1749528,PF,S2169478,"3-pyridyl pinacidil, (+-)-isomer"
3038512,ENG,C0959441,P,L1749334,PF,S2169085,"3-O-ethyloxazepam, (-)-isomer"
3038513,ENG,C0959442,P,L1749334,PF,S2169084,"3-O-ethyloxazepam, (+-)-isomer"
3038569,ENG,C0959503,P,L1745150,PF,S2182292,"N-methyltropan-3-yl 2-(4-bromophenyl)propionate, (+)-stereoisomer"
3038585,ENG,C0959519,P,L1761192,PF,S2203322,"neocnidilide, cis-(-)-isomer"
3038655,ENG,C0959602,P,L1736419,PF,S2165757,"1,2-epoxy-3,4-dihydroxy-1,2,3,4-tetrahydrobenzo(c)phenanthrene, (1aalpha,2alpha,3beta,11dalpha)-isomer"
3038656,ENG,C0959603,P,L1736420,PF,S2165759,"1,2-epoxy-3,4-dihydroxy-1,2,3,4-tetrahydrobenzo(c)phenanthrene, (1aalpha,2beta,3alpha,11dalpha)-isomer"
3038676,ENG,C0959622,P,L1738910,PF,S2166238,1-amino-2-naphthol hydrochloride
3038727,ENG,C0959681,P,L1740582,PF,S2166145,"1-(glucopyranosyl)pentobarbital, (S-(R*,R*))-isomer"
